subject,Cluster,phase,muscle,n_points,mean_IMF,SD_IMF,CV_IMF
574,1,CoolDown,SCML,12,78.36761916671878,20.037533610962146,25.568638965966827
574,1,CoolDown,SCMR,12,350.7367806748786,137.8430459385928,39.30099537133197
574,1,CoolDown,STL,12,383.41774526355283,120.11550750446477,31.32758172731417
574,1,CoolDown,STR,12,70.5308572500469,14.048290485475762,19.91793526012534
574,1,CoolDown,UTL,12,126.47199816586425,41.59279209047394,32.886957345234826
574,1,CoolDown,UTR,12,152.0665291064841,46.97120097539733,30.88858623353328
574,1,Warmup,MTL,12,47.854267803877896,16.102403973585858,33.648835751867864
574,1,Warmup,MTR,12,40.43435520014073,16.633971237605436,41.13821317360229
574,1,Warmup,SCML,12,121.55317501403131,39.74257827992164,32.695631582913414
574,1,Warmup,SCMR,12,26.84507706071199,12.810669479279163,47.72074019495996
574,1,Warmup,STL,12,84.62035160441823,30.552337140863862,36.105188127425194
574,1,Warmup,STR,12,68.78008874250743,22.109137163175088,32.14467670424975
574,1,Warmup,UTL,12,83.61991394998176,28.690887444617665,34.31107028139189
574,1,Warmup,UTR,12,91.87352459908266,15.811596003543002,17.21017678655694
575,0,CoolDown,MTL,6,42.8520794626894,22.895965210316003,53.43023138527301
575,0,CoolDown,MTR,6,44.35273594192755,23.12432519301925,52.137313971558974
575,0,CoolDown,SCML,6,131.39081173774028,40.97481280031794,31.185447641578477
575,0,CoolDown,SCMR,6,114.88359046612062,59.54887508618995,51.83409993070423
575,0,CoolDown,STL,6,47.85426772681657,23.225816034518612,48.5344717154732
575,0,CoolDown,STR,6,56.52472738463699,4.5954839778555625,8.13004182503069
575,0,CoolDown,UTL,6,37.84989119856223,20.112695330262767,53.13805322385383
575,0,CoolDown,UTR,6,54.690591687790366,8.094688539371264,14.800879437511
578,0,CoolDown,MTL,6,116.550986554163,14.521861700832787,12.459664332471574
578,0,CoolDown,MTR,6,61.02669682235145,30.456713722863988,49.90719686422387
578,0,CoolDown,SCML,6,65.02844743365318,52.287584646133354,80.40724745809287
578,0,CoolDown,SCMR,6,57.024946211049716,46.38407020477482,81.33996309809231
578,0,CoolDown,STL,6,57.02494621104971,27.833031362496747,48.80851839734581
578,0,CoolDown,STR,6,37.84989119856223,13.004406811103793,34.35784463126218
578,0,CoolDown,UTL,6,69.19693765375916,51.93193383857303,75.04946837159895
578,0,CoolDown,UTR,6,206.42363569964775,103.93900454887894,50.35227879626786
578,0,Warmup,MTL,6,66.19562469528285,39.59719928710403,59.81845396788855
578,0,Warmup,MTR,6,47.68752811801233,24.149053598361625,50.64018738526342
578,0,Warmup,SCML,6,100.7107237177603,92.64218322904955,91.98839985370111
